"","time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","coords"
"54","2016-07-28T11:26:07Z",NA,NA,"55.112.638","6.000.000","7.339.410",0.016126,10,"gps","NA:NA"
"55","2016-07-28T11:26:18Z",NA,NA,"51.021.017","24.000.000","262.065.155",0.085442,10,"gps","NA:NA"
"56","2016-07-28T11:26:29Z",NA,NA,"57.679.938","32.000.000","156.792.282",0.008212,8,"gps","NA:NA"
"57","2016-07-28T11:27:15Z",NA,NA,"101.796.284","12.000.000","143.348.862",0.467348,0,"gps","NA:NA"
"58","2016-07-28T11:27:41Z",NA,NA,"97.352.896","24.000.000","199.600.906",1.178648,0,"gps","NA:NA"
"59","2016-07-28T11:28:24Z",NA,NA,"43.457.755","16.000.000","138.951.706",0.814687,0,"gps","NA:NA"
"60","2016-07-28T11:28:50Z",NA,NA,"74.180.125","8.000.000","200.068.695",0.943983,0,"gps","NA:NA"
"61","2016-07-28T11:29:51Z",NA,NA,"55.206.499","12.000.000","0",0,8,"gps","NA:NA"
"62","2016-07-28T11:30:28Z",NA,NA,"75.617.142","8.000.000","253.320.572",1.42126,5,"gps","NA:NA"
"63","2016-07-28T11:30:54Z",NA,NA,"62.301.915","24.000.000","323.507.263",0.34365,0,"gps","NA:NA"
"64","2016-07-28T11:34:45Z",NA,NA,"35.184.971","6.000.000","250.327.637",0.638233,0,"gps","NA:NA"
"65","2016-07-28T11:34:55Z",NA,NA,"66.378.010","6.000.000","0",0,12,"gps","NA:NA"
"66","2016-07-28T11:35:21Z",NA,NA,"58.989.957","32.000.000","55.187.294",11.055006,0,"gps","NA:NA"
"67","2016-07-28T11:36:13Z",NA,NA,"57.854.442","12.000.000","43.939.198",4.10146,6,"gps","NA:NA"
"68","2016-07-28T11:36:32Z",NA,NA,"65.557.143","16.000.000","44.757.370",7.066278,10,"gps","NA:NA"
"69","2016-07-28T11:36:46Z",NA,NA,"68.647.072","12.000.000","45.130.657",0,8,"gps","NA:NA"
"70","2016-07-28T11:37:21Z",NA,NA,"84.587.309","24.000.000","44.695.660",4.549268,8,"gps","NA:NA"
"71","2016-07-28T11:37:39Z",NA,NA,"65.189.173","8.000.000","41.467.239",9.912286,8,"gps","NA:NA"
"72","2016-07-28T11:37:50Z",NA,NA,"66.803.713","12.000.000","40.349.689",10.407238,12,"gps","NA:NA"
"73","2016-07-28T11:38:05Z",NA,NA,"69.493.339","6.000.000","44.461.544",0,13,"gps","NA:NA"
